,title,sub_title,link
35,OVER AND OUT,Schmeichel 'agrees shock Nice transfer' after more than a decade at Leicester,https://www.thesun.co.uk/sport/19323718/kasper-schmeichel-transfer-nice-leicester/
36,NO BULL,RB Salzburg respond to Man Utd's transfer interest in Sesko with outrageous demand,https://www.thesun.co.uk/sport/19318063/red-bull-salzburg-transfer-demand-man-utd-fernandes/
37,YOURI MOVE,Man Utd may get clear run at Tielemans as Arsenal 'have concerns over Foxes ace',https://www.thesun.co.uk/sport/19323758/man-utd-clear-run-tielemans-arsenal-dropping-out/
38,TIN HAT TIME,Is there more to Joao Cancelo's new squad number than meets the eye?,https://www.thesun.co.uk/dream-team/fantasy-football/19319637/joao-cancelo-manchester-city-fantasy-football-premier-league/
39,OVERSIGHT,Mohamed Salah only the third-most popular Dream Team player this season,https://www.thesun.co.uk/dream-team/fantasy-football/19310743/mohamed-salah-liverpool-fantasy-football-premier-league-ownership/
40,ON POINT,"Lee Sharpe picks his Dream Team - take him on and compete for share of £100,000!",https://www.thesun.co.uk/dream-team/fantasy-football/19308852/lee-sharpe-picks-his-dream-team-new-season/
41,GUNNERS LATEST,"Lyon ready to sell Paqueta, Arthur loan 'AGREED', Jarrod Bowen 'meeting'",https://www.thesun.co.uk/sport/19098994/arsenal-transfer-news-live-lucas-paqueta-arthur-jarrod-bowen/
42,CHELSEA LATEST,"Fofana offer, Kane shock interest, Frenkie de Jong will ONLY join Blues",https://www.thesun.co.uk/sport/19207345/chelsea-transfer-news-live-fofana-harry-kane-frenkie-de-jong/
43,RED DEVILS LATEST,"Ronaldo told to sign NEW DEAL by agent, Declan Rice bid considered",https://www.thesun.co.uk/sport/19259195/man-utd-transfer-news-live-cristiano-ronaldo-declan-rice-frenkie-de-jong/
44,SWEDE CAROLINE,Lionesses roar through to Euro 2022 final with thumping 4-0 win over Sweden,https://www.thesun.co.uk/sport/19328560/england-lionesses-euro-2022-sweden-win/
45,MOR BLIMEY!,Piers Morgan hails Russo's backheel nutmeg as 'one of the best goals ever',https://www.thesun.co.uk/sport/19328323/alessia-russo-goal-backheel-england-women-euro-2022/
46,UNDERCOVER,Scot dressed in Sweden colours surprises reporter with accent in hilarious video,https://www.thesun.co.uk/sport/19330043/scot-dressed-sweden-colours-surprises-reporter-accent/
47,FINAL ACT,All TV and live stream info for mouth-watering spectacle at Wembley,https://www.thesun.co.uk/sport/19299932/womens-euro-2022-final-how-to-watch/
48,HEART OF GOLD,Women's Euro 2022 top scorer race: Who can win the Golden Boot?,https://www.thesun.co.uk/sport/19323809/womens-euro-golden-boot-race-beth-mead-inka-grings/
49,CHECK LIS OUT,Man Utd's Lisandro Martinez dines out with stunning girlfriend Muri Lopez,https://www.thesun.co.uk/sport/19318537/man-utd-lisandro-martinez-girlfriend-muri-lopez/
50,ALL IN,Everton star Dele Alli and girlfriend Cindy Kimberly splash out at Selfridges,https://www.thesun.co.uk/sport/football/19317899/everton-dele-alli-cindy-kimberly-chanel-selfridges/
51,"HAIR TODAY, GONE TOMORROW",Georgina's shock new look as Ronaldo tells Man Utd he wants out,https://www.thesun.co.uk/sport/19322742/georgina-rodriguez-cristiano-ronaldo-man-utd-transfer/
52,MARK IRWIN,Leicester heading to mid-table with Foxes not backing Rodgers,https://www.thesun.co.uk/sport/football/19277710/leicester-rodgers-man-city/
53,TIM VICKERY,"Barça's history of Brazilians continues with Raphinha, after Coutinho & Ronaldo",https://www.thesun.co.uk/sport/19250038/barcelona-brazil-raphinha-ronaldo-coutinho/
54,DAVE KIDD,Tottenham finally ready to shed 'Spursy' tag as Conte brings in quality early,https://www.thesun.co.uk/sport/19165277/tottenham-shed-spursy-tag-antonio-conte-transfer/
55,CANDY MAN,Haaland jokes about splashing out on Percy Pigs after initial 'student' shop,https://www.thesun.co.uk/sport/19318040/man-city-erling-haaland-jokes-percy-pigs-shop/
56,LOVE IN,Celtic icon Chris Sutton predicts Love Island winners as fans all say same thing,https://www.thesun.co.uk/sport/19309190/celtic-chris-sutton-love-island-winners-hoops-fans/
57,RIP,Arsenal pay tribute to late superfan Maria Petri with black armbands vs Chelsea,https://www.thesun.co.uk/sport/19309167/arsenal-tribute-superfan-maria-petri-death-black-armbands/
58,MIKE DROP,Inside Mike Dean's new man cave complete with retirement tribute from Chelsea,https://www.thesun.co.uk/sport/19290878/mike-dean-chelsea-man-utd/
59,BABY JOY,"I thought I had Covid, it turned out I was pregnant reveals Wag Summer Harl",https://www.thesun.co.uk/sport/football/19309422/covid-pregnant-scotland-wag-summer-harl/
